model,tau,budget_r,n,k,events,TP,precision,recall
hgbr,17,0.05,747,38,29,6,0.15789473684210525,0.20689655172413793
hgbr,17,0.06,747,45,29,6,0.13333333333333333,0.20689655172413793
hgbr,17,0.07,747,53,29,7,0.1320754716981132,0.2413793103448276
hgbr,17,0.08,747,60,29,8,0.13333333333333333,0.27586206896551724
hgbr,17,0.09,747,68,29,8,0.11764705882352941,0.27586206896551724
hgbr,17,0.1,747,75,29,8,0.10666666666666667,0.27586206896551724
hgbr,17,0.11,747,83,29,9,0.10843373493975904,0.3103448275862069
hgbr,17,0.12,747,90,29,9,0.1,0.3103448275862069
hgbr,17,0.13,747,98,29,10,0.10204081632653061,0.3448275862068966
hgbr,17,0.14,747,105,29,11,0.10476190476190476,0.3793103448275862
hgbr,17,0.15,747,113,29,11,0.09734513274336283,0.3793103448275862
hgbr,17,0.16,747,120,29,11,0.09166666666666666,0.3793103448275862
hgbr,17,0.17,747,127,29,11,0.08661417322834646,0.3793103448275862
hgbr,17,0.18,747,135,29,11,0.08148148148148149,0.3793103448275862
hgbr,17,0.19,747,142,29,11,0.07746478873239436,0.3793103448275862
hgbr,17,0.2,747,150,29,11,0.07333333333333333,0.3793103448275862
