dataset,metric_type,metric,horizon,tau_mgL,budget_r,model,model_key,model_label,ulsan_source_group,ulsan_value,seoul_value,delta_seoul_minus_ulsan,relative_change_pct,direction,baseline_available,improved_on_seoul
Seoul_Tancheon,alarm,precision,5,17.0,0.1,HGBR,hgbr,HGBR,,,0.0336134453781512,,,higher_is_better,0,
Seoul_Tancheon,alarm,precision,5,17.0,0.1,Persistence,persistence,Persistence,main_alarm,0.1052631578947368,0.0588235294117647,-0.046439628482972097,-44.11764705882351,higher_is_better,1,0.0
Seoul_Tancheon,alarm,recall,1,15.0,0.05,ElasticNet,enet_a0.1_l0.5,ElasticNet,main_alarm,0.1914893617021276,0.3043478260869565,0.11285846438482888,58.93719806763288,higher_is_better,1,1.0
Seoul_Tancheon,alarm,recall,1,15.0,0.05,HGBR,hgbr,HGBR,,,0.2898550724637681,,,higher_is_better,0,
Seoul_Tancheon,alarm,recall,1,15.0,0.05,Persistence,persistence,Persistence,main_alarm,0.2127659574468085,0.3478260869565217,0.13506012950971316,63.47826086956518,higher_is_better,1,1.0
Seoul_Tancheon,alarm,recall,1,15.0,0.1,ElasticNet,enet_a0.1_l0.5,ElasticNet,main_alarm,0.3120567375886525,0.5217391304347826,0.2096823928461301,67.19367588932805,higher_is_better,1,1.0
Seoul_Tancheon,alarm,recall,1,15.0,0.1,HGBR,hgbr,HGBR,,,0.4927536231884058,,,higher_is_better,0,
Seoul_Tancheon,alarm,recall,1,15.0,0.1,Persistence,persistence,Persistence,main_alarm,0.3546099290780142,0.5507246376811594,0.19611470860314523,55.30434782608695,higher_is_better,1,1.0
Seoul_Tancheon,alarm,recall,1,16.0,0.05,ElasticNet,enet_a0.1_l0.5,ElasticNet,main_alarm,0.2297297297297297,0.3809523809523809,0.1512226512226512,65.82633053221288,higher_is_better,1,1.0
Seoul_Tancheon,alarm,recall,1,16.0,0.05,HGBR,hgbr,HGBR,,,0.3809523809523809,,,higher_is_better,0,
Seoul_Tancheon,alarm,recall,1,16.0,0.05,Persistence,persistence,Persistence,main_alarm,0.2702702702702703,0.3333333333333333,0.06306306306306303,23.33333333333332,higher_is_better,1,1.0
