model,model_full_name,source_group,horizon,tau_mgL,budget_r,precision,recall,TP,events,k,source_file,rank_recall,rank_precision
enet_a1.0_l0.5,"ElasticNet (alpha=1.0, l1_ratio=0.5)",main_alarm,3,15,0.1,0.3421052631578947,0.1857142857142857,26,140,76,results/metrics/alarm_budget_H3.csv,6,6
enet_a1.0_l0.2,"ElasticNet (alpha=1.0, l1_ratio=0.2)",main_alarm,3,16,0.05,0.4210526315789473,0.2191780821917808,16,73,38,results/metrics/alarm_budget_H3.csv,1,1
enet_a0.1_l0.2,"ElasticNet (alpha=0.1, l1_ratio=0.2)",main_alarm,3,16,0.05,0.3421052631578947,0.1780821917808219,13,73,38,results/metrics/alarm_budget_H3.csv,2,2
enet_a0.1_l0.5,"ElasticNet (alpha=0.1, l1_ratio=0.5)",main_alarm,3,16,0.05,0.3421052631578947,0.1780821917808219,13,73,38,results/metrics/alarm_budget_H3.csv,2,2
enet_a1.0_l0.5,"ElasticNet (alpha=1.0, l1_ratio=0.5)",main_alarm,3,16,0.05,0.3421052631578947,0.1780821917808219,13,73,38,results/metrics/alarm_budget_H3.csv,2,2
persistence,Persistence baseline (carry-forward),main_alarm,3,16,0.05,0.2894736842105263,0.1506849315068493,11,73,38,results/metrics/alarm_budget_H3.csv,3,3
enet_a0.01_l0.5,"ElasticNet (alpha=0.01, l1_ratio=0.5)",main_alarm,3,16,0.05,0.2368421052631578,0.1232876712328767,9,73,38,results/metrics/alarm_budget_H3.csv,4,4
enet_a0.01_l0.2,"ElasticNet (alpha=0.01, l1_ratio=0.2)",main_alarm,3,16,0.05,0.2105263157894736,0.1095890410958904,8,73,38,results/metrics/alarm_budget_H3.csv,5,5
enet_a0.01_l0.2,"ElasticNet (alpha=0.01, l1_ratio=0.2)",main_alarm,3,16,0.1,0.3026315789473684,0.3150684931506849,23,73,76,results/metrics/alarm_budget_H3.csv,1,1
enet_a0.01_l0.5,"ElasticNet (alpha=0.01, l1_ratio=0.5)",main_alarm,3,16,0.1,0.3026315789473684,0.3150684931506849,23,73,76,results/metrics/alarm_budget_H3.csv,1,1
